Location,Item Number,Qty On Hand
502372,L002890610NCPAA,33600
502372,L0549303AA01,55118.112
502372,L0571636AA01,18000
502372,L0592046AA01,51700
502372,L0668944AA01,21000
502372,L0698195AA01,38400
502372,L0698203AA01,1100
502372,L0706490AA03,32000
502372,L0706492AA02,72000
502372,L0797678AA01,10800
502372,WRG16HMAA,21000
502372,WRG16LBAA,9000
502372,WRG25LBAA,16000
,,
53115,FR13CT20029A,200
53115,FRRP6430,8
53115,FRVP5648,400
,,
53116,FR13CT18023A,250
53116,FRRP6430,500
,,
53122,M2GPKD6PTHER600R59,0.9
,,
5313,M1G3FJWSDLAA600R59,0
5313,M1G3FJWSDLAA600R59,0
5313,M1G3FJWSDLAA600R59,0
5313,M1G3FJWSDLAA600R59,0
5313,M1G3FJWSDLAA600R59,0
5313,M1G3FJWSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
,,
p 8056,,ventory Detai
9,,
,,
,,
Location,Item Number,Qty On Hand
--------,------------------,------------
5313,M1G3FJXSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
5313,M1G3FJXSDLAA600R59,0
5313,M1G4FJDSSEAA600R59,0
5313,M1G4FJDSSEAA600R59,0
5313,M1G4FJDSSEAA600R59,0
5313,M1G4FJDSSEAA600R59,0
5313,M1G4FJDSSEAA600R59,0
5313,M1G4FJDSSEAA600R59,0
5313,M1G4FJDSSEAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
,,
p 8056,,ventory Detai
10,,
,,
,,
Location,Item Number,Qty On Hand
--------,------------------,------------
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJDSSLAA600R59,0
5313,M1G4FJESSLAA600R59,0
5313,M1G4FJESSLAA600R59,0
5313,M1G4FJESSLAA600R59,0
5313,M1G4FJESSLAA600R59,0
5313,M1G4FJESSLAA600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
5313,M1G4FJNWE3PR600R59,0
,,
53132,FR13CT18023A,200
53132,FRRP6430,400
,,
539658,1561-345SAA,750
539658,1561-345SAA,750
539658,1561-345SAA,750
539658,1561-345SAA,750
539658,1561-345SAA,750
539658,1561-345SAA,750
539658,1561-345SAA,750
,,
p 8056,,ventory Detai
11,,
,,
,,
Location,Item Number,Qty On Hand
--------,------------------,------------
539658,1561-345SAA,750
539658,1561-345SAA,750
539658,1561-345SAA,750
539658,1561-345SAA,750
539658,1561-345SAA,750
539658,1561-345SAA,750
539658,1561-345SAA,750
539658,1561-345SAA,750
539658,1561-345SAA,750
539658,190562,2500
539658,346779,70
539658,346803,1500
539658,91577X92-645D,31.6
539658,91577X92-645D,33.1
539658,91577X92-645D,32.1
539658,91577X92-645D,32.4
539658,91577X92-645D,32.9
539658,91577X92-645D,32.6
539658,91577X92-645D,27.86
539658,91577X92-645D,12.36
539658,91577X92-645D,33.5
539658,91577X92-645D,31.8
539658,91577X92-645D,33
539658,91577X92-645D,32.8
539658,91577X92-645D,32.8
539658,91577X92-645D,33.2
539658,91577X92-645D,33.7
539658,91577X92-645D,33
539658,91577X92-645D,1.89
539658,91577X92-645D,31.6
539658,91577X92-645D,33.2
539658,91577X92-645D,29.14
539658,L00162055763JAA,31
539658,L00162055763JAA,29.8
539658,L00162055763JAA,28.4
539658,L00162055763JAA,4.01
539658,L00162055988TAA,29.5
539658,L00162055988TAA,30.5
539658,L00180970202FAA,2000
539658,L00180970245DAA,6000
539658,L001809702HXWAA,4000
539658,L002215046NCPAA,3500
539658,L002312377NCPAA,700
539658,L002316235NCPAB,5500
539658,L002401087NCPAC,15000
539658,L002401088NCPAC,10000
539658,L002401089NCPAD,10000
539658,L002401090NCPAD,5000
539658,L002401091NCPAB,5000
539658,L0449870AA0102F,766
539658,L0571668AA01,1000
539658,L0571668AA01,1000
539658,L0571668AA01,1000
539658,L0571668AA01,1000
,,
p 8056,,ventory Detai
12,,
,,
,,
Location,Item Number,Qty On Hand
--------,------------------,------------
539658,L0571668AA01,1000
539658,L0571668AA01,1000
539658,L0571668AA01,1000
539658,L0571668AA01,1000
539658,L0571668AA01,1000
539658,L0571668AA01,1000
539658,L0571668AA01,1000
539658,L0571668AA01,1000
539658,L0572828AA03,750
539658,L0572828AA03,750
539658,L0572828AA03,750
539658,L0572828AA03,750
539658,L0572828AA03,750
539658,L0572828AA03,750
539658,L0572828AA03,750
539658,L0572828AA03,750
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
,,
p 8056,,ventory Detai
13,,
,,
,,
Location,Item Number,Qty On Hand
--------,------------------,------------
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0633654AA01,299.96
539658,L0676195AA01,1800
539658,L0676195AA01,1800
539658,L0676195AA01,1800
539658,L0676195AA01,1800
539658,L0676195AA01,1800
